CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0109,0.0,100.0,0.0,0.0,0.0
CPU001,T0110,0.0,100.0,0.0,0.0,0.0
CPU001,T0111,0.0,100.0,0.0,0.0,0.0
CPU001,T0112,10.0,90.0,0.0,0.0,0.0
CPU001,T0113,2.0,98.0,0.0,0.0,0.0
CPU001,T0114,1.0,99.0,0.0,0.0,0.0
CPU001,T0115,0.0,100.0,0.0,0.0,0.0
CPU001,T0116,0.0,100.0,0.0,0.0,0.0
CPU001,T0117,0.0,100.0,0.0,0.0,0.0
CPU001,T0118,0.0,100.0,0.0,0.0,0.0
CPU001,T0119,0.0,100.0,0.0,0.0,0.0
CPU001,T0120,0.0,100.0,0.0,0.0,0.0
CPU001,T0121,1.0,99.0,0.0,0.0,0.0
CPU001,T0122,0.0,100.0,0.0,0.0,0.0
CPU001,T0123,0.0,100.0,0.0,0.0,0.0
CPU001,T0124,0.0,100.0,0.0,0.0,0.0
CPU001,T0125,0.0,100.0,0.0,0.0,0.0
CPU001,T0126,0.0,100.0,0.0,0.0,0.0
CPU001,T0127,0.0,100.0,0.0,0.0,0.0
CPU001,T0128,0.0,100.0,0.0,0.0,0.0
CPU001,T0129,0.0,100.0,0.0,0.0,0.0
CPU001,T0130,0.0,100.0,0.0,0.0,0.0
CPU001,T0131,0.0,100.0,0.0,0.0,0.0
CPU001,T0132,0.0,100.0,0.0,0.0,0.0
CPU001,T0133,0.0,100.0,0.0,0.0,0.0
CPU001,T0134,0.0,100.0,0.0,0.0,0.0
CPU001,T0135,0.0,100.0,0.0,0.0,0.0
CPU001,T0136,0.0,100.0,0.0,0.0,0.0
CPU001,T0137,0.0,100.0,0.0,0.0,0.0
CPU001,T0138,0.0,100.0,0.0,0.0,0.0
CPU001,T0139,0.0,100.0,0.0,0.0,0.0
CPU001,T0140,1.0,99.0,0.0,0.0,0.0
CPU001,T0141,0.0,100.0,0.0,0.0,0.0
CPU001,T0142,0.0,100.0,0.0,0.0,0.0
CPU001,T0143,0.0,100.0,0.0,0.0,0.0
CPU001,T0144,0.0,100.0,0.0,0.0,0.0
CPU001,T0145,0.0,100.0,0.0,0.0,0.0
CPU001,T0146,0.0,100.0,0.0,0.0,0.0
CPU001,T0147,0.0,100.0,0.0,0.0,0.0
CPU001,T0148,0.0,100.0,0.0,0.0,0.0
CPU001,T0149,0.0,100.0,0.0,0.0,0.0
CPU001,T0150,0.0,100.0,0.0,0.0,0.0
CPU001,T0151,0.0,100.0,0.0,0.0,0.0
CPU001,T0152,0.0,100.0,0.0,0.0,0.0
CPU001,T0153,0.0,100.0,0.0,0.0,0.0
CPU001,T0154,0.0,100.0,0.0,0.0,0.0
CPU001,T0155,0.0,100.0,0.0,0.0,0.0
CPU001,T0156,0.0,100.0,0.0,0.0,0.0
CPU001,T0157,0.0,100.0,0.0,0.0,0.0
CPU001,T0158,0.0,100.0,0.0,0.0,0.0
CPU001,T0159,0.0,100.0,0.0,0.0,0.0
CPU001,T0160,0.0,100.0,0.0,0.0,0.0
CPU001,T0161,0.0,100.0,0.0,0.0,0.0
CPU001,T0162,0.0,100.0,0.0,0.0,0.0
CPU001,T0163,0.0,100.0,0.0,0.0,0.0
CPU001,T0164,0.0,100.0,0.0,0.0,0.0
CPU001,T0165,0.0,100.0,0.0,0.0,0.0
CPU001,T0166,0.0,100.0,0.0,0.0,0.0
CPU001,T0167,0.0,100.0,0.0,0.0,0.0
CPU001,T0168,0.0,100.0,0.0,0.0,0.0
CPU001,T0169,0.0,100.0,0.0,0.0,0.0
CPU001,T0170,0.0,100.0,0.0,0.0,0.0
CPU001,T0171,0.0,100.0,0.0,0.0,0.0
CPU001,T0172,0.0,100.0,0.0,0.0,0.0
CPU001,T0173,0.0,100.0,0.0,0.0,0.0
CPU001,T0174,0.0,100.0,0.0,0.0,0.0
CPU001,T0175,0.0,100.0,0.0,0.0,0.0
