Linux 5.10.198 (ubuntu2004) 	04/16/2026 	_aarch64_	(4 CPU)

06:33:38 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:49 PM      eth4  67811.00      0.00  99729.85      0.00      0.00      0.00      0.00     81.70
06:33:49 PM      eth5  45208.00    695.00  65957.77     43.44      0.00      0.00      0.00     54.03
06:33:49 PM     wlan0      4.00      0.00      0.38      0.00      0.00      0.00      0.00      0.00

06:33:49 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:50 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:50 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:50 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:50 PM      eth0  22491.00      0.00  32989.73      0.00      0.00      0.00      0.00     27.03
06:33:50 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:50 PM      eth2  59232.00   1771.00  81250.52    110.69      0.00      0.00      0.00     66.56
06:33:50 PM      eth3  46839.00    621.00  68886.26     38.81      0.00      0.00      0.00     56.43
06:33:50 PM      eth4  68541.00      0.00 100803.46      0.00      0.00      0.00      0.00     82.58
06:33:50 PM      eth5  46924.00    731.00  68461.38     45.69      0.00      0.00      0.00     56.08
06:33:50 PM     wlan0      3.00      0.00      0.12      0.00      0.00      0.00      0.00      0.00

06:33:50 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:51 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:51 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:51 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:51 PM      eth0  22176.00      0.00  32526.28      0.00      0.00      0.00      0.00     26.65
06:33:51 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:51 PM      eth2  60607.00   1776.00  83137.45    111.00      0.00      0.00      0.00     68.11
06:33:51 PM      eth3  45275.00    664.00  66586.08     41.50      0.00      0.00      0.00     54.55
06:33:51 PM      eth4  68093.00      0.00 100144.59      0.00      0.00      0.00      0.00     82.04
06:33:51 PM      eth5  45060.00    704.00  65741.84     44.00      0.00      0.00      0.00     53.86
06:33:51 PM     wlan0      6.00      0.00      1.16      0.00      0.00      0.00      0.00      0.00

06:33:51 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:52 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:52 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:52 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:52 PM      eth0  22365.00      0.00  32804.91      0.00      0.00      0.00      0.00     26.87
06:33:52 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:52 PM      eth2  58702.00   1737.00  80524.61    108.56      0.00      0.00      0.00     65.97
06:33:52 PM      eth3  46278.00    637.00  68061.20     39.81      0.00      0.00      0.00     55.76
06:33:52 PM      eth4  68186.00      1.00 100279.96      0.06      0.00      0.00      0.00     82.15
06:33:52 PM      eth5  46378.00    722.00  67664.78     45.12      0.00      0.00      0.00     55.43
06:33:52 PM     wlan0      3.00      0.00      0.13      0.00      0.00      0.00      0.00      0.00

06:33:52 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:53 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:53 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:53 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:53 PM      eth0  22617.00      0.00  33174.54      0.00      0.00      0.00      0.00     27.18
06:33:53 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:53 PM      eth2  59647.00   1755.00  81820.57    109.69      0.00      0.00      0.00     67.03
06:33:53 PM      eth3  46142.00    663.00  67861.18     41.44      0.00      0.00      0.00     55.59
06:33:53 PM      eth4  67960.00      0.00  99948.98      0.00      0.00      0.00      0.00     81.88
06:33:53 PM      eth5  47039.00    725.00  68629.17     45.31      0.00      0.00      0.00     56.22
06:33:53 PM     wlan0      8.00      0.00      1.15      0.00      0.00      0.00      0.00      0.00

06:33:53 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:54 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:54 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:54 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:54 PM      eth0  22257.00      0.00  32646.50      0.00      0.00      0.00      0.00     26.74
06:33:54 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:54 PM      eth2  60049.00   1751.00  82370.69    109.44      0.00      0.00      0.00     67.48
06:33:54 PM      eth3  47701.00    639.00  70154.01     39.94      0.00      0.00      0.00     57.47
06:33:54 PM      eth4  68729.00      0.00 101079.96      0.00      0.00      0.00      0.00     82.80
06:33:54 PM      eth5  46840.00    732.00  68338.83     45.75      0.00      0.00      0.00     55.98
06:33:54 PM     wlan0      4.00      0.00      0.18      0.00      0.00      0.00      0.00      0.00

06:33:54 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:55 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:55 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:55 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:55 PM      eth0  22591.00      0.00  33136.41      0.00      0.00      0.00      0.00     27.15
06:33:55 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:55 PM      eth2  59991.00   1790.00  82292.67    111.87      0.00      0.00      0.00     67.41
06:33:55 PM      eth3  45976.00    716.00  67617.05     44.75      0.00      0.00      0.00     55.39
06:33:55 PM      eth4  68536.00      0.00 100796.11      0.00      0.00      0.00      0.00     82.57
06:33:55 PM      eth5  45949.00    717.00  67038.87     44.81      0.00      0.00      0.00     54.92
06:33:55 PM     wlan0      5.00      0.00      0.64      0.00      0.00      0.00      0.00      0.00

06:33:55 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:56 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:56 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:56 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:56 PM      eth0  22310.00      0.00  32722.83      0.00      0.00      0.00      0.00     26.81
06:33:56 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:56 PM      eth2  60360.00   1796.00  82799.18    112.25      0.00      0.00      0.00     67.83
06:33:56 PM      eth3  46122.00    660.00  67831.77     41.25      0.00      0.00      0.00     55.57
06:33:56 PM      eth4  68518.00      0.00 100769.64      0.00      0.00      0.00      0.00     82.55
